T_K,P_atm,quantity,max_abs_JAX_minus_SciPy,RMSE_JAX_minus_SciPy
351.5,4.64,Y_H,5.421010862427522e-20,1.5392711914656796e-20
351.5,4.64,Y_O,4.336808689942018e-19,1.0247479137498046e-19
351.5,4.64,Y_HO2,1.0842021724855044e-19,4.874672771671984e-21
351.5,4.64,Y_H2O2,1.6940658945086007e-21,6.209970510253569e-22
351.5,4.64,Y_N2,1.1102230246251565e-16,1.1102230246251565e-16
651.5,0.84,Temperature,9.094947017729282e-13,2.8572889802405535e-13
651.5,0.84,Pressure,1.1641532182693481e-10,6.251116164334045e-11
651.5,0.84,Y_H2,3.469446951953614e-18,3.2956892756444646e-19
651.5,0.84,Y_O2,2.7755575615628914e-17,2.264019059086211e-18
651.5,0.84,Y_H2O,5.551115123125783e-17,1.7953344772482105e-17
651.5,0.84,Y_OH,6.938893903907228e-18,2.2260412623518213e-18
651.5,0.84,Y_H,4.336808689942018e-19,6.8714787617358e-20
651.5,0.84,Y_O,3.469446951953614e-18,4.344482114817707e-19
651.5,0.84,Y_HO2,5.421010862427522e-20,2.7819154895168995e-21
651.5,0.84,Y_H2O2,6.776263578034403e-21,4.0071493050489176e-22
651.5,0.84,Y_N2,0.0,0.0
651.5,2.54,Temperature,9.094947017729282e-13,2.674259843900374e-13
651.5,2.54,Pressure,4.656612873077393e-10,1.6923654271411186e-10
651.5,2.54,Y_H2,8.673617379884035e-19,3.4784702362481237e-19
651.5,2.54,Y_O2,2.7755575615628914e-17,2.1965554275035053e-18
651.5,2.54,Y_H2O,5.551115123125783e-17,1.868783846189829e-17
651.5,2.54,Y_OH,6.938893903907228e-18,1.7519848312320393e-18
651.5,2.54,Y_H,1.0842021724855044e-19,3.8871583838576506e-20
651.5,2.54,Y_O,1.734723475976807e-18,2.949348774913697e-19
651.5,2.54,Y_HO2,2.710505431213761e-20,3.72180789453598e-21
651.5,2.54,Y_H2O2,1.6940658945086007e-21,4.37405933120652e-22
651.5,2.54,Y_N2,0.0,0.0
651.5,4.64,Temperature,9.094947017729282e-13,2.603238271391031e-13
651.5,4.64,Pressure,9.313225746154785e-10,2.711919013667875e-10
651.5,4.64,Y_H2,8.673617379884035e-19,2.759928150030073e-19
651.5,4.64,Y_O2,6.938893903907228e-18,1.1913732603482776e-18
651.5,4.64,Y_H2O,5.551115123125783e-17,1.8536936125236266e-17
651.5,4.64,Y_OH,3.469446951953614e-18,1.80625175088143e-18
651.5,4.64,Y_H,2.168404344971009e-19,3.530600233932564e-20
651.5,4.64,Y_O,8.673617379884035e-19,2.200690056638559e-19
651.5,4.64,Y_HO2,2.168404344971009e-19,6.998494929930432e-21
651.5,4.64,Y_H2O2,6.776263578034403e-21,5.81211106053474e-22
651.5,4.64,Y_N2,1.1102230246251565e-16,1.1102230246251565e-16
951.5,0.84,Temperature,9.094947017729282e-13,2.796326470217728e-13
951.5,0.84,Pressure,1.1641532182693481e-10,4.1056005225010115e-11
951.5,0.84,Y_H2,3.469446951953614e-18,4.650709199157704e-19
951.5,0.84,Y_O2,5.551115123125783e-17,2.9439233600320782e-18
951.5,0.84,Y_H2O,5.551115123125783e-17,1.6940072887534452e-17
951.5,0.84,Y_OH,6.938893903907228e-18,2.378664813632848e-18
951.5,0.84,Y_H,8.673617379884035e-19,1.0127586310452018e-19
951.5,0.84,Y_O,3.469446951953614e-18,6.153584863748271e-19
951.5,0.84,Y_HO2,2.710505431213761e-20,2.3207260074738524e-21
951.5,0.84,Y_H2O2,3.3881317890172014e-21,2.901712489658429e-22
951.5,0.84,Y_N2,1.1102230246251565e-16,1.1102230246251565e-16
951.5,2.54,Temperature,9.094947017729282e-13,2.8262099691928716e-13
951.5,2.54,Pressure,4.656612873077393e-10,1.3609477254212976e-10
951.5,2.54,Y_H2,3.469446951953614e-18,4.6032863077179e-19
951.5,2.54,Y_O2,2.7755575615628914e-17,1.995560421391868e-18
951.5,2.54,Y_H2O,5.551115123125783e-17,1.7226540732186092e-17
951.5,2.54,Y_OH,6.938893903907228e-18,2.4797046259197678e-18
951.5,2.54,Y_H,2.168404344971009e-19,6.842796088424268e-20
951.5,2.54,Y_O,8.673617379884035e-19,4.4439065127221605e-19
951.5,2.54,Y_HO2,6.776263578034403e-21,3.504710774248187e-21
951.5,2.54,Y_H2O2,6.776263578034403e-21,4.685873743176791e-22
951.5,2.54,Y_N2,0.0,0.0
951.5,4.64,Temperature,9.094947017729282e-13,2.5824685261797063e-13
951.5,4.64,Pressure,4.656612873077393e-10,2.0297704932934946e-10
951.5,4.64,Y_H2,1.734723475976807e-18,2.699641638273158e-19
951.5,4.64,Y_O2,3.469446951953614e-18,1.7831967320697797e-18
951.5,4.64,Y_H2O,5.551115123125783e-17,1.7039188335022762e-17
951.5,4.64,Y_OH,6.938893903907228e-18,2.1550637609613322e-18
951.5,4.64,Y_H,4.336808689942018e-19,5.607537238797099e-20
951.5,4.64,Y_O,1.734723475976807e-18,4.670885906470169e-19
951.5,4.64,Y_HO2,1.3552527156068805e-20,3.999335225698992e-21
951.5,4.64,Y_H2O2,6.776263578034403e-21,5.781167924660475e-22
951.5,4.64,Y_N2,0.0,0.0
