case_id,T_K,P_atm,phi,status,cj_speed_m_s,t_end_s,n_profile_points,x_max_m,profile_file,runtime_s,error_message
114,328.57142857142856,1.4000000000000001,1.0,ok,1979.000491248212,5e-05,704,0.050284977542052446,znd_tp_profiles/znd_T0328.57_P01.40.npz,0.8658036249980796,
115,328.57142857142856,1.5000000000000002,1.0,ok,1980.469013117668,5e-05,763,0.050370528882016596,znd_tp_profiles/znd_T0328.57_P01.50.npz,0.9318933329996071,
116,328.57142857142856,1.6,1.0,ok,1981.8328383288526,5e-05,784,0.05044711169000172,znd_tp_profiles/znd_T0328.57_P01.60.npz,0.8899973340012366,
117,328.57142857142856,1.7000000000000002,1.0,ok,1983.105156560684,5e-05,828,0.050516262221937405,znd_tp_profiles/znd_T0328.57_P01.70.npz,0.8844605830017827,
118,328.57142857142856,1.8000000000000003,1.0,ok,1984.296912095232,5e-05,811,0.05057915597225571,znd_tp_profiles/znd_T0328.57_P01.80.npz,0.9164118330008932,
119,328.57142857142856,1.9000000000000001,1.0,ok,1985.417133420673,5e-05,811,0.0506367258711419,znd_tp_profiles/znd_T0328.57_P01.90.npz,0.9302201669997885,
120,328.57142857142856,2.0,1.0,ok,1986.473488840099,5e-05,769,0.05068973109422734,znd_tp_profiles/znd_T0328.57_P02.00.npz,0.8696136250000563,
121,328.57142857142856,2.1,1.0,ok,1987.4724789230866,5e-05,778,0.05073876073961677,znd_tp_profiles/znd_T0328.57_P02.10.npz,0.8698918750014855,
122,328.57142857142856,2.2,1.0,ok,1988.4196761861965,5e-05,829,0.050784315369959865,znd_tp_profiles/znd_T0328.57_P02.20.npz,0.9113155000013649,
123,328.57142857142856,2.3000000000000003,1.0,ok,1989.3198950752571,5e-05,747,0.050826799330227886,znd_tp_profiles/znd_T0328.57_P02.30.npz,0.8504162919998635,
124,328.57142857142856,2.4000000000000004,1.0,ok,1990.1773137892199,5e-05,799,0.0508665455333587,znd_tp_profiles/znd_T0328.57_P02.40.npz,0.920048667001538,
125,328.57142857142856,2.5000000000000004,1.0,ok,1990.995586447228,5e-05,868,0.05090386220741824,znd_tp_profiles/znd_T0328.57_P02.50.npz,0.8855638750028447,
126,328.57142857142856,2.6,1.0,ok,1991.7779304098485,5e-05,768,0.05093897642673231,znd_tp_profiles/znd_T0328.57_P02.60.npz,0.9207604999974137,
127,328.57142857142856,2.7,1.0,ok,1992.5271475992793,5e-05,849,0.05097211623438383,znd_tp_profiles/znd_T0328.57_P02.70.npz,0.9069047499942826,
128,328.57142857142856,2.8000000000000003,1.0,ok,1993.2458760315656,5e-05,854,0.05100344065997089,znd_tp_profiles/znd_T0328.57_P02.80.npz,0.9036198750036419,
129,328.57142857142856,2.9000000000000004,1.0,ok,1993.936192603841,5e-05,814,0.05103313404465838,znd_tp_profiles/znd_T0328.57_P02.90.npz,0.8575332500040531,
130,328.57142857142856,3.0000000000000004,1.0,ok,1994.6002887496345,5e-05,835,0.051061303765240255,znd_tp_profiles/znd_T0328.57_P03.00.npz,1.0067939590007882,
131,328.57142857142856,3.1,1.0,ok,1995.2398509210866,5e-05,828,0.051088097298985675,znd_tp_profiles/znd_T0328.57_P03.10.npz,0.9497119579973514,
132,328.57142857142856,3.2,1.0,ok,1995.85654984354,5e-05,821,0.05111361553362444,znd_tp_profiles/znd_T0328.57_P03.20.npz,0.9369836249970831,
133,328.57142857142856,3.3000000000000003,1.0,ok,1996.4518657411118,5e-05,809,0.051137941195292955,znd_tp_profiles/znd_T0328.57_P03.30.npz,0.854378000003635,
134,328.57142857142856,3.4000000000000004,1.0,ok,1997.0271473357368,5e-05,876,0.05116117401143984,znd_tp_profiles/znd_T0328.57_P03.40.npz,0.8905144589953125,
135,328.57142857142856,3.5000000000000004,1.0,ok,1997.5835864679134,5e-05,903,0.05118339064168024,znd_tp_profiles/znd_T0328.57_P03.50.npz,0.9202202079977724,
136,328.57142857142856,3.6,1.0,ok,1998.1223282734802,5e-05,902,0.051204658808592346,znd_tp_profiles/znd_T0328.57_P03.60.npz,1.0076235419983277,
137,328.57142857142856,3.7,1.0,ok,1998.644340599043,5e-05,809,0.051225060395039636,znd_tp_profiles/znd_T0328.57_P03.70.npz,0.8932830409976305,
138,328.57142857142856,3.8000000000000003,1.0,ok,1999.150692921652,5e-05,808,0.05124462025133299,znd_tp_profiles/znd_T0328.57_P03.80.npz,0.9104673330002697,
139,328.57142857142856,3.9000000000000004,1.0,ok,1999.6421249395346,5e-05,905,0.05126341077667557,znd_tp_profiles/znd_T0328.57_P03.90.npz,0.8829296670010081,
140,328.57142857142856,4.0,1.0,ok,2000.119439319629,5e-05,799,0.05128149710368949,znd_tp_profiles/znd_T0328.57_P04.00.npz,0.8780062909936532,
141,328.57142857142856,4.1,1.0,ok,2000.5834052685868,5e-05,780,0.051298901261184485,znd_tp_profiles/znd_T0328.57_P04.10.npz,0.8432980829966255,
142,328.57142857142856,4.2,1.0,ok,2001.0346384120603,5e-05,923,0.05131570716096789,znd_tp_profiles/znd_T0328.57_P04.20.npz,0.8905614169998444,
143,328.57142857142856,4.3,1.0,ok,2001.4739191233132,5e-05,764,0.05133191358320072,znd_tp_profiles/znd_T0328.57_P04.30.npz,0.9300172500006738,
144,328.57142857142856,4.3999999999999995,1.0,ok,2001.9016830417156,5e-05,769,0.051347589038180055,znd_tp_profiles/znd_T0328.57_P04.40.npz,0.878316916001495,
145,328.57142857142856,4.5,1.0,ok,2002.3185194061768,5e-05,753,0.05136276630004721,znd_tp_profiles/znd_T0328.57_P04.50.npz,0.9127591249998659,
146,328.57142857142856,4.6,1.0,ok,2002.7249424462868,5e-05,800,0.05137747510700878,znd_tp_profiles/znd_T0328.57_P04.60.npz,0.8789444590001949,
147,328.57142857142856,4.7,1.0,ok,2003.1214175496932,5e-05,938,0.05139174482381605,znd_tp_profiles/znd_T0328.57_P04.70.npz,1.0587554590019863,
148,328.57142857142856,4.8,1.0,ok,2003.5083923304267,5e-05,807,0.05140561857654756,znd_tp_profiles/znd_T0328.57_P04.80.npz,1.03253562500322,
149,328.57142857142856,4.9,1.0,ok,2003.8862766178784,5e-05,857,0.05141911700985015,znd_tp_profiles/znd_T0328.57_P04.90.npz,0.8604082500023651,
150,328.57142857142856,5.0,1.0,ok,2004.2554645903313,5e-05,832,0.051432271722584966,znd_tp_profiles/znd_T0328.57_P05.00.npz,0.8589434590030578,
151,342.8571428571429,0.1,1.0,ok,1913.5005886371398,5e-05,564,0.03429001988538695,znd_tp_profiles/znd_T0342.86_P00.10.npz,0.8170038749958621,
