T1_K,P1_atm,cj_speed_m_s,x10_T_m,x50_T_m,x90_T_m,ho2_peak,ho2_peak_x_m,source_file
914.285714286,4.4,1947.9561031469025,4.333515339559137e-05,6.779501841807608e-05,0.000260289001621763,0.0007067987071582141,3.790966895193242e-05,znd_T0914.29_P04.40.npz
914.285714286,4.5,1948.6240255116818,4.2257843258942056e-05,6.590944403770649e-05,0.0002511347402349074,0.0007210256746488086,3.699530190191044e-05,znd_T0914.29_P04.50.npz
914.285714286,4.6,1949.2760855070485,4.123128106482866e-05,6.412137923609606e-05,0.00024247408344744273,0.0007352048570062145,3.612077548334773e-05,znd_T0914.29_P04.60.npz
914.285714286,4.7,1949.9131360871474,4.0252139546225385e-05,6.242721581606844e-05,0.00023440286212685126,0.0007493313798295898,3.528900193179072e-05,znd_T0914.29_P04.70.npz
914.285714286,4.8,1950.5357179964808,3.9317258549194806e-05,6.0814492260252625e-05,0.00022675505260555075,0.0007634087941727819,3.449450921503239e-05,znd_T0914.29_P04.80.npz
914.285714286,4.9,1951.1444712765947,3.8420627286874125e-05,5.928038795677418e-05,0.00021945041729054844,0.0007774377695944183,3.373493701115503e-05,znd_T0914.29_P04.90.npz
914.285714286,5.0,1951.739995981182,3.7564578808725024e-05,5.7816462105920454e-05,0.00021261118572862668,0.0007914189738346384,3.300809897546275e-05,znd_T0914.29_P05.00.npz
928.571428571,0.1,1821.6605465315154,0.003138430866903467,0.009485148296082975,0.023665411889630217,3.70871535272889e-05,0.0016132356426731562,znd_T0928.57_P00.10.npz
928.571428571,0.2,1845.689963778913,0.0015946095212241657,0.005628120580637007,0.023051322971388476,4.850030226403697e-05,0.0008031455407050009,znd_T0928.57_P00.20.npz
928.571428571,0.3,1859.5975971333667,0.0010084800146311689,0.0034828485618801923,0.01892055576235513,6.091601481558077e-05,0.0005664507509013497,znd_T0928.57_P00.30.npz
928.571428571,0.4,1869.3880631410964,0.0007169171420269789,0.002287254551053723,0.013795038891145068,7.586368505780646e-05,0.0005350345250986499,znd_T0928.57_P00.40.npz
928.571428571,0.5,1876.9179990001667,0.000548648835943958,0.0016119776300838702,0.009913263806635727,9.345294725044778e-05,0.00042054595517804867,znd_T0928.57_P00.50.npz
928.571428571,0.6,1883.0376626132393,0.00044101241634235096,0.0012062139474728504,0.007355337702110517,0.00011077874085715317,0.0003432142214439552,znd_T0928.57_P00.60.npz
928.571428571,0.7,1888.1771815279185,0.00036690009218120947,0.0009450442430361838,0.0056683321626131815,0.00012787898409005524,0.0002883577879697828,znd_T0928.57_P00.70.npz
928.571428571,0.8,1892.6005898812632,0.0003130465739000816,0.0007664120594174398,0.004514688029276964,0.0001447718057241495,0.0002498495500200408,znd_T0928.57_P00.80.npz
928.571428571,0.9,1896.4856416118416,0.00027227307675293356,0.0006384870960740931,0.003692774876092483,0.0001614929598505161,0.00021896769446204397,znd_T0928.57_P00.90.npz
