T1_K,P1_atm,phi,cj_speed_m_s,integration_speed_m_s,x_end_m,T_min_K,T_max_K,P_min_Pa,P_max_Pa,x_monotonic,finite_all,min_mass_fraction,max_species_sum_error,x10_T_m,x50_T_m,x90_T_m,T_start_K,T_end_K,delta_T_K
300.0,2.1,1.0,1990.5367290478682,2000.4894126931074,0.05068607843960703,1569.2036000232242,3056.0997775069795,3712638.9909493322,6035303.67114104,True,True,0.0,8.881784197001252e-16,0.00010629068714942089,0.00012710369691166577,0.00023733777718829179,1569.2053054581716,3056.099777506964,1486.8944720487925
300.0,2.2,1.0,1991.4551739244014,2001.4124497940231,0.050728807572873444,1570.3036367464956,3059.4551337704092,3892167.283111528,6328663.587621402,True,True,0.0,5.551115123125783e-16,0.00010441756420136183,0.00012444279136974523,0.00022655566701676173,1570.305321181304,3059.4551337703983,1489.1498125890944
300.0,2.3,1.0,1992.3278793876616,2002.2895187845997,0.05076855544386161,1571.3492571689078,3062.6463509857563,4071798.087320642,6622257.961858881,True,True,0.0,6.661338147750939e-16,0.00010290134758700114,0.00012221768924893078,0.00021720112987963242,1571.3509214086719,3062.646350985741,1491.295429577069
300.0,2.4,1.0,1993.158929916039,2003.1247245656189,0.050805628710858634,1572.345301262935,3065.688411887266,4251527.986677835,6916075.1762594115,True,True,0.0,2.6645352591003757e-15,0.00010169499839197966,0.00012038201467804035,0.00020902608015136736,1572.346946082102,3065.688411887245,1493.341465805143
300.0,2.5,1.0,1993.9518834469877,2003.9216428642223,0.05084030839187392,1573.2959866301494,3068.593481377825,4431350.548294212,7210104.549627118,True,True,0.0,8.881784197001252e-16,0.00010077486869372203,0.00011889428680498694,0.00020189812485955582,1573.297612756094,3068.593481377818,1495.2958686217241
300.0,2.6,1.0,1994.7098779219255,2004.6834273115348,0.05087282152956999,1574.2050345921512,3071.3730216416197,4611262.309576562,7504336.378395444,True,True,0.0,1.3322676295501878e-15,0.00010012135241840079,0.00011772354960827667,0.00019564581751973633,1574.2066426951549,3071.373021641612,1497.1663789464571
300.0,2.7,1.0,1995.4356800521214,2005.4128584523817,0.05090337653133853,1575.0757273708894,3074.0362463904885,4791257.341415515,7798761.705654525,True,True,0.0,2.886579864025407e-15,9.970094121416911e-05,0.00011683684584046613,0.00019021276012669196,1575.0773180599142,3074.036246390476,1498.958928330562
300.0,2.8,1.0,1996.1317436505992,2006.112402368852,0.050932136313713565,1575.9109769892195,3076.5926702172646,4971334.3775159735,8093372.255625475,True,True,0.0,2.4424906541753444e-15,9.950346407887258e-05,0.000116209448839732,0.0001854811167125349,1575.9125508131842,3076.5926702172487,1500.6801194040645
300.0,2.9,1.0,1996.8002909209308,2006.7842923755352,0.05095926088739662,1576.7134227037093,3079.049659210629,5151489.194693141,8388160.669606436,True,True,0.0,5.995204332975845e-15,9.949394817480146e-05,0.0001158174688458313,0.00018135033977124187,1576.7149794094335,3079.0496592106174,1502.334679801184
300.0,3.0,1.0,1997.4432328235062,2007.4304489876235,0.05098489890644366,1577.4853321746796,3081.4142741409096,5331716.680229577,8683119.460013477,True,True,0.0,8.881784197001252e-16,9.966975380659752e-05,0.00011564068892918838,0.00017777540635065798,1577.4868724996472,3081.414274140902,1503.9274016412546
300.0,3.1,1.0,1998.0623601191162,2008.0526719197117,0.0510091526540277,1578.2288333488516,3083.6931693523484,5512017.487538386,8978242.288071549,True,True,0.0,1.3322676295501878e-15,0.00010000999632439481,0.00011565528898178494,0.0001746851732898051,1578.230357648451,3083.693169352344,1505.4628117038928
300.0,3.2,1.0,1998.659285031,2008.6525814561548,0.051032154928660624,1578.9458422673054,3085.8916235252386,5692386.29500535,9273523.249293087,True,True,0.0,4.440892098500626e-16,0.00010049305016330083,0.00011584258861195848,0.0001720457587004585,1578.9473508642484,3085.8916235252236,1506.9442726609752
300.0,3.3,1.0,1999.2354136659644,2009.231590734294,0.05105401325390776,1579.63802978439,3088.0147116429935,5872820.032988861,9568956.334055172,True,True,0.0,2.220446049250313e-15,0.00010110341939574399,0.00011617847576843622,0.00016977585057286954,1579.6395230279566,3088.0147116429744,1508.3751886150178
300.0,3.4,1.0,1999.7920699379788,2009.7910302876685,0.051074819370873145,1580.3069699918726,3090.067197472088,6053317.28610858,9864536.370986575,True,True,0.0,1.7763568394002505e-15,0.00010181846734494389,0.00011664522416071404,0.00016783339537182327,1580.3084483954315,3090.0671974720835,1509.758749076652
300.0,3.5,1.0,2000.3304453502506,2010.3320975770016,0.051094662410122664,1580.9540796037115,3092.053585757025,6233876.763741527,10160258.384672934,True,True,0.0,8.881784197001252e-16,0.00010262420894325756,0.00011721949771799387,0.00016620721251806633,1580.9555439958394,3092.0535857570167,1511.0980417611772
